English Links:,Outlinks:
https://en.wikipedia.org/wiki/Main_Page,147
https://lists.wikimedia.org/mailman/listinfo/daily-article-l,2
https://lists.wikimedia.org/mailman/listinfo/daily-article-l,2
https://wikimediafoundation.org/our-work/wikimedia-projects/,56
https://commons.wikimedia.org/wiki/,381
https://commons.wikimedia.org/wiki/,381
https://www.mediawiki.org/wiki/,83
https://www.mediawiki.org/wiki/,83
https://meta.wikimedia.org/wiki/,383
https://meta.wikimedia.org/wiki/,383
Farsi Links:,Outlinks:
https://fa.wikipedia.org/wiki/%D8%B5%D9%81%D8%AD%D9%87%D9%94_%D8%A7%D8%B5%D9%84%DB%8C,162
https://www.wikidata.org/wiki/Special:EntityPage/Q5296,815
https://commons.wikimedia.org/wiki/Main_Page,381
https://www.mediawiki.org/wiki/MediaWiki,83
https://meta.wikimedia.org/wiki/Main_Page,383
https://wikisource.org/wiki/Main_Page,276
https://species.wikimedia.org/wiki/Main_Page,370
https://fa.wikibooks.org/wiki/%D8%B5%D9%81%D8%AD%D9%87%D9%94_%D8%A7%D8%B5%D9%84%DB%8C,138
https://www.wikidata.org/wiki/Wikidata:Main_Page,385
https://wikimania.wikimedia.org/wiki/Wikimania,346
Spanish Links:,Outlinks:
https://es.wikipedia.org/wiki/Espa%C3%B1a,618
https://www.wikidata.org/wiki/Q29?uselang=es#P163,688
http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Espa%C3%B1a&params=40.418888888889_N_-3.6919444444444_E_type:city,261
http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Espa%C3%B1a&params=40.418888888889_N_-3.6919444444444_E_type:city,261
https://www.wikidata.org/wiki/Q2807?uselang=es#P625,411
https://www.wikidata.org/wiki/Q29?uselang=es#p194,688
https://www.wikidata.org/wiki/Q29?uselang=es#p610,688
https://www.wikidata.org/wiki/Q29?uselang=es#P78,688
https://www.wikidata.org/wiki/Q29?uselang=es#p984,688
https://www.wikidata.org/wiki/Q29,687
